id,nombre,precio,descripcion,categoria,material,tamaño,nombre_cientifico,cuidados,origen,kilo,tipo_uso,idea,tipo,forma_uso
b9e20e8f,Artículo 173,3321,Alta resistencia y durabilidad,Macetas,fibracemento,grande,,,,,,,,
b5874f74,Producto 490,8894,Diseño estético y funcional,Árboles,,grande,Latinicus plantarius 25,sombra total,Colombia,,,,,
e26f7a04,Objeto 237,6063,Perfecto para el jardín,Tierras y sustratos,,,,,,10 kg,huerta,,,
97987b8a,Elemento 518,4561,Elemento útil para el hogar,Insumos de jardinería,,,,,,,,mini escultura,,
e356f4f0,Objeto 240,8382,Diseño estético y funcional,Macetas,fibracemento,mediano,,,,,,,,
f2db0236,Producto 546,1003,Diseño estético y funcional,Arbustos,,grande,Latinicus plantarius 83,poca agua,Ecuador,,,,,
8dbebb9b,Elemento 297,3080,Producto ideal para decoración,Plantas de interior,,chico,Latinicus plantarius 38,poca agua,Brasil,,,,,
fb3cb5f0,Objeto 129,9520,Perfecto para el jardín,Insumos de jardinería,,,,,,,,palita,,
46858dcf,Objeto 825,7777,Diseño estético y funcional,Adornos de jardín,,,,,,,,palita,,
8a02557c,Ítem 467,8108,Perfecto para el jardín,Fertilizantes,,,,,,,,,fertilizante orgánico,
aded0a26,Elemento 222,6462,Elemento útil para el hogar,Productos químicos,,,,,,,,,,aplicación directa
814744c4,Artículo 733,2495,Diseño estético y funcional,Arbustos,,mediano,Latinicus plantarius 86,abono mensual,Ecuador,,,,,
649c5b9a,Artículo 842,8575,Popular entre los amantes de las plantas,Árboles,,chico,Latinicus plantarius 28,sol parcial,Perú,,,,,
62d2fcb8,Producto 680,5236,Perfecto para el jardín,Adornos de jardín,,,,,,,,enano de jardín,,
7a7a9be2,Producto 704,3850,Diseño estético y funcional,Coníferas,,mediano,Latinicus plantarius 74,riego moderado,Colombia,,,,,
f76ed516,Producto 522,3477,Elemento útil para el hogar,Tierras y sustratos,,,,,,2 kg,uso general,,,
b4d0e32a,Elemento 202,3127,Perfecto para el jardín,Plantas de interior,,mediano,Latinicus plantarius 96,riego moderado,Perú,,,,,
c8f57b4c,Elemento 893,9699,Elemento útil para el hogar,Árboles,,grande,Latinicus plantarius 26,riego moderado,México,,,,,
e3418dbe,Objeto 252,9914,Perfecto para el jardín,Macetas,fibracemento,chico,,,,,,,,
d864a26a,Elemento 514,6430,Diseño estético y funcional,Souvenirs,,,,,,,,guantes,,
40755c26,Elemento 131,1769,Producto ideal para decoración,Souvenirs,,,,,,,,maceta personalizada,,
30d2f123,Ítem 638,3730,Popular entre los amantes de las plantas,Palmeras,,chico,Latinicus plantarius 50,sol parcial,México,,,,,
